2026-03-15 19:05:15 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:05:42 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:06:35 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:07:15 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:08:09 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:09:44 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:12:22 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:12:35 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:19:16 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:27:43 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:29:14 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:30:56 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:31:39 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:32:57 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:33:46 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

2026-03-15 19:33:56 ERROR poe_trade.db.clickhouse ClickHouse HTTPError 404: Code: 60. DB::Exception: Unknown table expression identifier 'poe_trade.v_gold_mart_diagnostics' in scope SELECT mart_name, source_name, source_row_count, source_latest_at, source_distinct_league_count, source_blank_or_null_league_rows, gold_row_count, gold_latest_at, gold_distinct_league_count, gold_blank_or_null_league_rows, gold_freshness_minutes, source_to_gold_lag_minutes, diagnostic_state FROM poe_trade.v_gold_mart_diagnostics ORDER BY mart_name ASC. (UNKNOWN_TABLE) (version 26.2.4.23 (official build))

