iter	Passed	Remaining
0	0	83
1	0	69
2	0	77
3	0	73
4	1	71
5	1	69
6	1	66
7	1	68
8	2	67
9	2	69
10	2	68
11	2	68
12	3	66
13	3	65
14	3	67
15	3	66
16	4	67
17	4	66
18	4	66
19	4	66
20	4	65
21	5	65
22	5	65
23	5	65
24	5	64
25	6	65
26	6	64
27	6	63
28	6	62
29	6	62
30	7	62
31	7	61
32	7	60
33	7	60
34	7	58
35	8	59
36	8	58
37	8	57
38	8	57
39	8	57
40	8	56
41	9	57
42	9	57
43	9	57
44	10	57
45	10	56
46	10	56
47	10	56
48	11	56
49	11	56
50	11	55
51	11	55
52	12	55
53	12	55
54	12	55
55	12	55
56	12	55
57	13	54
58	13	54
59	13	54
60	13	54
61	14	54
62	14	53
63	14	53
64	14	53
65	15	53
66	15	53
67	15	53
68	15	52
69	16	53
70	16	52
71	16	52
72	16	52
73	17	52
74	17	52
75	17	52
76	17	51
77	18	51
78	18	51
79	18	51
80	18	51
81	19	51
82	19	50
83	19	50
84	19	50
85	20	50
86	20	50
87	20	50
88	20	49
89	21	49
90	21	49
91	21	48
92	21	48
93	22	48
94	22	48
95	22	48
96	22	47
97	23	47
98	23	47
99	23	47
100	23	47
101	24	46
102	24	46
103	24	46
104	24	46
105	25	45
106	25	45
107	25	45
108	25	44
109	25	44
110	26	44
111	26	44
112	26	43
113	26	43
114	26	43
115	27	43
116	27	42
117	27	42
118	27	42
119	28	42
120	28	41
121	28	41
122	28	41
123	28	41
124	29	40
125	29	40
126	29	40
127	29	40
128	30	39
129	30	39
130	30	39
131	30	39
132	30	38
133	31	38
134	31	38
135	31	38
136	31	37
137	31	37
138	32	37
139	32	37
140	32	36
141	32	36
142	33	36
143	33	36
144	33	35
145	33	35
146	33	35
147	34	35
148	34	34
149	34	34
150	34	34
151	34	34
152	35	33
153	35	33
154	35	33
155	35	33
156	36	32
157	36	32
158	36	32
159	36	32
160	37	31
161	37	31
162	37	31
163	37	31
164	37	30
165	38	30
166	38	30
167	38	30
168	38	30
169	38	29
170	39	29
171	39	29
172	39	29
173	39	28
174	40	28
175	40	28
176	41	28
177	41	28
178	41	28
179	41	27
180	41	27
181	42	27
182	42	27
183	42	26
184	42	26
185	42	26
186	43	26
187	43	25
188	43	25
189	43	25
190	44	25
191	44	24
192	44	24
193	44	24
194	44	24
195	45	23
196	45	23
197	45	23
198	45	23
199	46	23
200	46	22
201	46	22
202	46	22
203	46	22
204	47	21
205	47	21
206	47	21
207	47	21
208	48	20
209	48	20
210	48	20
211	48	20
212	48	19
213	49	19
214	49	19
215	49	19
216	49	19
217	50	18
218	50	18
219	50	18
220	50	18
221	50	17
222	51	17
223	51	17
224	51	17
225	51	16
226	52	16
227	52	16
228	52	16
229	52	16
230	52	15
231	53	15
232	53	15
233	53	15
234	53	14
235	54	14
236	54	14
237	54	14
238	54	13
239	54	13
240	55	13
241	55	13
242	55	13
243	55	12
244	55	12
245	56	12
246	56	12
247	56	11
248	56	11
249	57	11
250	57	11
251	57	10
252	57	10
253	58	10
254	58	10
255	58	10
256	58	9
257	58	9
258	59	9
259	59	9
260	59	8
261	59	8
262	59	8
263	60	8
264	60	7
265	60	7
266	60	7
267	61	7
268	61	7
269	61	6
270	61	6
271	62	6
272	62	6
273	62	5
274	62	5
275	62	5
276	63	5
277	63	5
278	63	4
279	63	4
280	64	4
281	64	4
282	64	3
283	64	3
284	64	3
285	65	3
286	65	2
287	65	2
288	65	2
289	65	2
290	66	2
291	66	1
292	66	1
293	67	1
294	67	1
295	67	0
296	67	0
297	68	0
298	68	0
299	68	0
